"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","503","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","499","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","511","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1004","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","1031","Успешное заполнение информации для оформления заказа","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","790","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-06-23","passed","2026-06-23","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1003","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1012","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","522","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11844","Добавление и удаление товаров из корзины","Surefire suite","2026-06-23","passed","2026-06-23","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","551","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"","755","checkLocator","Surefire suite","2026-06-23","passed","2026-06-23","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка удаления товара из корзины","10822","Удаление товара из корзины","Surefire suite","2026-06-23","passed","2026-06-23","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
